transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn
7,01/04/2019,12:04:43,3,12,558,N,1,1,52,1,2.5,2.5,N
11,01/04/2019,15:54:39,3,17,781,N,1,1,27,2,7,3.5,N
x19,01/04/2019,14:34:59,3,17,788,Y,1,1,46,2,5,2,N
32,01/04/2019a,16:06:04,3,12,683,N,1,1,23,2,5,2.5,N
33,01/04/2019,,3,17,99,Y,1,1,34,1,2.45,2.45,N
39,01/04/2019,18:54:46,3,17,664,Y,1,1,32,1,3,3b3,N
,01/04/2019,13:03:49,3,12,316,N,1,1,49,2,6,a3x,N
53,x01/04/2019,11:21:14,3,12,38,N,1,1,60,1,3.75,3.75,N
59,01/04/2019,19:30:55,3,12,370,Y,1,1,x51,2,6,3,N
62,01/04/2019,12:01:00,3,12,180,Y,1,1,49,2,6,a3,N
81,01/04/2019,13:20:51,3,12,35,Y,1,1,35,2,6.2,3.1,N
90,01/04/2019,11:40:20,3,,595,N,1,1,47,1,3,3,N
91,01/04/2019,12:27:43,3,12,500,N,1,,25,2,4.4,,N
94,01/04/2019,17:37:02,3,17,128,Y,1,1,23,2,5,2.5,N
101,01/04/2019,12:26:34,3,17,599,Y,1,1,48,2,5,2.5,N
103,01/04/2019,14:33:32,3,17,152,Y,1,1,53,2,6,3,N
108,01/04/2019,16:11:18,3,17,65,N,1,1,,1,3.75,3.75,N
x112,01/04/2019,13:03:38,3,12,90,Y,1,1,37,2,6,3,N
117,01/04/2019,18:25:04,3,12,82,Y,1,1,60,1,3.75,3.75,N
120,01/04/2019,15:51:44,3,12,174,N,1,1,53,2,6,3,N
127,01/04/2019,13:58:40,3,12,116,N,1,1,41,2,8.5,4.25,N
134,01/04/2019,11:49:29,3,17,189,Y,1,1,38,2,7.5,3.75,N
135,01/04/2019,17:01:36,3,17,131,Y,1,1,40,1,3.75,3.75,N
137,01/04/2019,11:10:04,3,17,264,Y,1,1,40,1,3.75,3.75,N
138,01/04/2019,13:17:42,3,17,722,Y,1,1,38,1,3.75,3.75,N
141,01/04/2019,14:07:25,3,17,302,Y,1,1,50,1,2.5,2.5,N
143,01/04/2019,13:17:00,3,12,174,Y,1,1,59,2,9,4.5,N
150,01/04/2019,12:24:53,3,17,604,Y,1,1,28,1,2,2,N
156,01/04/2019,12:30:00,3,17,32,N,1,1,34,1,2.45,2.45,N
156,01/04/2019,12:30:00,3,17,32,N,1,5,77,1,3,3,N
162,01/04/2019,19:07:40,3,17,470,N,1,1,55,1,4,4,N
165,01/04/2019,16:44:46,3,12,127,Y,1,1,54,2,5,2.5,N
175,01/04/2019,19:54:12,3,17,553,Y,1,1,47,1,3,3,N
180,01/04/2019,17:52:36,3,17,518,Y,1,1,45,2,6,3,N
199,01/04/2019,14:24:55,3,12,112,Y,1,1,41,2,8.5,4.25,N
199,01/04/2019,14:24:55,3,12,112,Y,1,5,79,1,3.75,3.75,N
202,01/04/2019,17:26:58,3,17,437,N,1,1,37,2,6,3,N
212,01/04/2019,17:03:21,3,17,552,N,1,1,50,1,2.5,2.5,N
219,01/04/2019,15:03:55,3,12,194,Y,1,1,43,1,3,3,N
224,01/04/2019,14:54:27,3,17,788,N,1,1,38,2,7.5,3.75,N
226,01/04/2019,16:30:12,3,12,533,Y,1,1,40,1,3.75,3.75,N
227,01/04/2019,12:09:11,3,17,521,N,1,1,28,2,4,2,N
238,01/04/2019,15:48:10,3,17,512,Y,1,1,41,1,4.25,4.25,N
247,01/04/2019,19:04:32,3,17,178,Y,1,1,23,1,2.5,2.5,N
248,01/04/2019,14:30:49,3,12,416,Y,1,1,32,2,6,3,N
249,01/04/2019,11:15:38,3,12,22,Y,1,1,52,1,2.5,2.5,N
260,01/04/2019,18:14:31,3,12,642,Y,1,1,61,2,9.5,4.75,N
262,01/04/2019,11:52:08,3,12,189,N,1,1,58,1,3.5,3.5,N
268,01/04/2019,16:04:10,3,17,223,N,1,1,42,2,5,2.5,N
269,01/04/2019,19:25:00,3,12,40,Y,1,1,53,1,3,3,N
270,01/04/2019,11:27:00,3,17,344,N,1,1,49,1,3,3,N
276,01/04/2019,16:10:37,3,12,401,N,1,1,42,2,5,2.5,N
281,01/04/2019,11:27:06,3,12,189,N,1,1,31,2,4.4,2.2,N
290,01/04/2019,14:58:35,3,12,517,N,1,1,43,1,3,3,N
296,01/04/2019,14:49:18,3,17,328,Y,1,1,39,1,4.25,4.25,N
296,01/04/2019,14:49:18,3,17,328,Y,1,5,79,1,3.75,3.75,N
297,01/04/2019,12:05:26,3,12,331,N,1,1,48,2,5,2.5,N
298,01/04/2019,18:30:05,3,17,414,N,1,1,55,2,8,4,N
317,01/04/2019,19:57:08,3,12,567,N,1,1,48,1,2.5,2.5,N
325,01/04/2019,19:23:13,3,12,526,N,1,1,22,2,4,2,N
326,01/04/2019,12:05:31,3,12,659,N,1,1,52,2,5,2.5,N
334,01/04/2019,18:12:37,3,17,492,N,1,1,25,2,4.4,2.2,N
337,01/04/2019,18:14:17,3,17,655,Y,1,1,39,2,8.5,4.25,N
344,01/04/2019,17:28:16,3,12,500,Y,1,1,41,1,4.25,4.25,N
357,01/04/2019,15:34:10,3,12,530,N,1,1,41,2,8.5,4.25,N
357,01/04/2019,15:34:10,3,12,530,N,1,5,76,1,3.5,3.5,N
360,01/04/2019,15:30:57,3,17,114,Y,1,1,38,2,7.5,3.75,N
366,01/04/2019,18:33:47,3,17,301,N,1,1,51,1,3,3,N
384,01/04/2019,16:04:18,3,17,602,Y,1,1,54,2,5,2.5,N
385,01/04/2019,11:32:46,3,12,565,Y,1,1,31,2,4.4,2.2,N
389,01/04/2019,17:00:27,3,12,335,Y,1,1,29,1,2.5,2.5,N
390,01/04/2019,12:20:37,3,12,52,Y,1,1,25,1,2.2,2.2,N
391,01/04/2019,18:05:52,3,12,216,N,1,1,33,2,7,3.5,N
391,01/04/2019,18:05:52,3,12,216,N,1,5,79,1,3.75,3.75,N
396,01/04/2019,14:45:31,3,17,550,Y,1,1,47,1,3,3,N
405,01/04/2019,19:31:31,3,17,481,N,1,1,26,2,6,3,N
411,01/04/2019,12:23:27,3,12,516,N,1,1,22,2,4,2,N
413,01/04/2019,16:03:50,3,17,508,N,1,1,31,1,2.2,2.2,N
413,01/04/2019,16:03:50,3,17,508,N,1,5,76,1,3.5,3.5,N
421,01/04/2019,19:52:28,3,17,717,N,1,1,34,2,4.9,2.45,N
422,01/04/2019,14:14:08,3,17,641,Y,1,1,26,1,3,3,N
426,01/04/2019,15:45:16,3,17,525,N,1,1,46,2,5,2.5,N
427,01/04/2019,19:03:00,3,12,384,Y,1,1,22,1,2,2,N
429,01/04/2019,12:56:59,3,17,784,Y,1,1,47,1,3,3,N
434,01/04/2019,17:26:52,3,12,383,N,1,1,26,2,6,3,N
446,01/04/2019,12:15:02,3,12,659,Y,1,1,50,2,5,2.5,N
447,01/04/2019,14:51:44,3,17,235,Y,1,1,30,1,3,3,N
451,01/04/2019,12:55:25,3,12,319,Y,1,1,49,1,3,3,N
457,01/04/2019,16:17:06,3,12,647,N,1,1,34,2,4.9,2.45,N
459,01/04/2019,18:09:04,3,17,320,Y,1,1,35,1,3.1,3.1,N
461,01/04/2019,17:54:11,3,17,326,Y,1,1,56,2,5.1,2.55,N
470,01/04/2019,18:38:00,3,12,122,Y,1,1,41,1,4.25,4.25,N
474,01/04/2019,18:13:09,3,12,453,Y,1,1,59,1,4.5,4.5,N
480,01/04/2019,16:37:34,3,17,185,N,1,1,26,2,6,3,N
483,01/04/2019,19:15:15,3,12,393,N,1,1,55,1,4,4,N
490,01/04/2019,16:24:40,3,12,392,Y,1,1,47,2,6,3,N
490,01/04/2019,16:24:40,3,12,392,Y,1,5,74,1,3.5,3.5,N
494,01/04/2019,18:25:42,3,12,241,N,1,1,35,1,3.1,3.1,N
495,01/04/2019,18:51:23,3,17,777,N,1,1,24,2,6,3,N
497,01/04/2019,16:49:38,3,12,407,Y,1,1,52,1,2.5,2.5,N
501,01/04/2019,16:16:43,3,17,659,N,1,1,39,1,4.25,4.25,N
510,01/04/2019,15:15:17,3,12,288,Y,1,1,35,2,6.2,3.1,N
510,01/04/2019,15:15:17,3,12,288,Y,1,5,79,1,3.75,3.75,N
511,01/04/2019,18:07:54,3,12,15,N,1,1,26,2,6,3,N
513,01/04/2019,11:08:11,3,17,486,Y,1,1,59,1,4.5,4.5,N
516,01/04/2019,16:02:33,3,12,206,Y,1,1,43,2,6,3,N
516,01/04/2019,16:02:33,3,12,206,Y,1,5,71,1,3.75,3.75,N
523,01/04/2019,14:00:44,3,17,315,N,1,1,25,1,2.2,2.2,N
528,01/04/2019,17:12:46,3,17,197,Y,1,1,55,2,8,4,N
529,01/04/2019,19:49:37,3,12,329,N,1,1,36,1,3.75,3.75,N
530,01/04/2019,19:28:35,3,17,184,Y,1,1,55,1,4,4,N
534,01/04/2019,18:52:34,3,17,474,N,1,1,22,1,2,2,N
537,01/04/2019,12:18:27,3,17,706,Y,1,1,38,1,3.75,3.75,N
539,01/04/2019,17:18:36,3,17,384,Y,1,1,29,1,2.5,2.5,N
